Peak_Index,Thickness_a,Filter_Value,Scattered_RHS,Delta,Delta_a_to_Next,Interval_Ratio
1,7.665,1.9348858363782122e-07,0.0004398734006465719,-7.664560126599353,3.284,0.6193666260657736
2,10.949,1.16353736863167e-12,1.0786738935529e-06,-10.948998921326107,2.0340000000000007,1.2536873156342174
3,12.983,8.748799014758848e-16,2.9578368810262092e-08,-12.982999970421632,2.549999999999999,0.5372549019607842
4,15.533,3.85186559744943e-21,6.20633998218711e-11,-15.532999999937935,1.3699999999999992,1.602919708029199
5,16.903,2.8650702604721686e-23,5.3526351084976536e-12,-16.902999999994645,2.1960000000000015,0.714480874316939
6,19.099,2.641765157483594e-28,1.625350779826802e-14,-19.098999999999982,1.568999999999999,0.4646271510516273
7,20.668,3.579156073102873e-33,5.98260484496751e-17,-20.668,0.7290000000000028,1.1906721536351101
8,21.397000000000002,2.8488295850572114e-35,5.337442819419438e-18,-21.397000000000002,0.8679999999999986,2.3018433179723554
9,22.265,1.2584897271974208e-34,1.1218242853483876e-17,-22.265,1.998000000000001,0.5085085085085074
10,24.263,2.4636490597863206e-39,4.963515951204671e-20,-24.263,1.0159999999999982,1.5236220472440989
11,25.279,8.725016132865385e-41,9.340779481855561e-21,-25.279,1.5480000000000018,1.0794573643410836
12,26.827,5.790664789963535e-44,2.4063800177784754e-22,-26.827,1.6709999999999994,0.8270496708557741
13,28.498,2.471852928075052e-48,1.572212748986298e-24,-28.498,1.381999999999998,0.5947901591895832
14,29.88,7.02609150545137e-53,8.382178419391566e-27,-29.88,0.8220000000000027,1.3284671532846657
15,30.702,1.2181142257753586e-54,1.103682121706861e-27,-30.702,1.0919999999999987,0.9358974358974388
16,31.794,1.846498756519196e-57,4.2970905930864385e-29,-31.794,1.022000000000002,0.9765166340508763
17,32.816,4.2638272869607666e-60,2.064903699197802e-30,-32.816,0.9979999999999976,1.138276553106218
18,33.814,1.6043022191626446e-62,1.2666105238638453e-31,-33.814,1.1360000000000028,0.5580985915492948
19,34.95,1.466240838982621e-66,1.2108843210573919e-33,-34.95,0.6340000000000003,1.2618296529968402
20,35.584,7.970810832530248e-68,2.823262444855286e-34,-35.584,0.7999999999999972,1.575000000000003
21,36.384,9.234013712607156e-69,9.609377561844033e-35,-36.384,1.259999999999998,0.3960317460317485
22,37.644,9.858418544162553e-74,3.1398118644534348e-37,-37.644,0.49900000000000233,1.6192384769538999
23,38.143,9.600631910583677e-74,3.098488649419855e-37,-38.143,0.8079999999999998,1.3700495049504946
24,38.951,2.323706182825516e-74,1.524370749793342e-37,-38.951,1.1069999999999993,1.4697380307136436
25,40.058,6.595792742320771e-76,2.568227548781605e-38,-40.058,1.6270000000000024,0.5894283958205253
26,41.685,1.5049496283772428e-80,1.226763884525968e-40,-41.685,0.9589999999999961,1.3149113660062648
27,42.644,6.401940303321551e-83,8.001212597676399e-42,-42.644,1.2610000000000028,0.6082474226804134
28,43.905,2.6765914969008445e-87,5.173578545746497e-44,-43.905,0.767000000000003,1.4889178617992065
29,44.672000000000004,4.4947301089844646e-89,6.704274836986074e-45,-44.672000000000004,1.141999999999996,0.6015761821366025
30,45.814,2.6909738319248495e-93,5.187459717361523e-47,-45.814,0.6869999999999976,1.4614264919941897
31,46.501,7.493202972048179e-95,8.656328882412092e-48,-46.501,1.0040000000000049,0.6802788844621479
32,47.505,1.6176135141181257e-98,1.271854360419512e-49,-47.505,0.6829999999999998,1.7877013177159544
33,48.188,4.5016524442451847e-100,2.1217097926543075e-50,-48.188,1.2209999999999965,0.03357903357903689
34,49.409,3.2940358945969195e-113,5.739369211504797e-57,-49.409,0.04100000000000392,14.097560975608307
35,49.45,4.44720380238866e-111,6.668735864006506e-56,-49.45,0.5779999999999959,1.6055363321799498
36,50.028,1.4285736028024948e-105,3.779647606328525e-53,-50.028,0.9280000000000044,1.1670258620689582
37,50.956,2.985883914625011e-107,5.4643242167948e-54,-50.956,1.0829999999999984,0.5466297322252998
38,52.039,4.1970716473723404e-111,6.478481031362476e-56,-52.039,0.5919999999999987,0.7972972972973011
39,52.631,1.002881084127947e-114,1.0014395059752472e-57,-52.631,0.4720000000000013,1.8601694915254188
40,53.103,3.953938573243043e-113,6.288035124936122e-57,-53.103,0.8780000000000001,1.8917995444191358
41,53.981,7.257456471676785e-114,2.69396667976365e-57,-53.981,1.6610000000000014,0.2781456953642359
42,55.642,1.1360575842631536e-120,1.0658600209516978e-60,-55.642,0.4619999999999962,1.1948051948052039
43,56.104,3.959101225074766e-122,1.9897490357014287e-61,-56.104,0.5519999999999996,1.4329710144927617
44,56.656,1.3482012232766701e-122,1.1611206755874559e-61,-56.656,0.7910000000000039,1.2022756005056836
45,57.447,5.412245063826534e-124,2.3264232340282654e-62,-57.447,0.9510000000000005,1.2776025236593014
46,58.398,4.5421806249278854e-126,2.1312392228297331e-63,-58.398,1.2149999999999963,
47,59.613,5.292640616176301e-130,2.300573975375776e-65,-59.613,,
